instance,method,total_distance,cost,processing_time,num_vehicles,mean_route_length,std_route_length,min_route_length,max_route_length,mean_customers_per_route,std_customers_per_route,min_customers_per_route,max_customers_per_route,coef_variation_length,distance_per_second,cost_per_second
vpr101_4_2_results.json,grasp,70198.7,58966.91,16.65677309036255,4,17549676.208965365,901945.902598183,16607616.462463072,18770064.59516129,25.0,0.0,25,25,0.051393877121072934,4214.423743372977,3540.1160645045766
vpr101_4_2_results.json,nearest_neighbor_algorithm,85827.26,72094.9,0.002000570297241211,4,21456814.11028224,1586622.0869683814,19917899.1538548,24113774.795482997,25.0,0.0,25,25,0.07394490527874137,42901396.72590156,36037174.049529254
vpr101_5_1_results.json,clarke_wright_savings,94396.52,79293.08,0.00900721549987793,5,18879304.35582896,4027949.829789371,12532444.78060875,24993256.68009633,20.0,3.03315017762062,18,26,0.2133526614049075,10480100.093228513,8803284.433582678
vpr101_5_1_results.json,genetic_algorithm,52439.85,44049.48,48.56900477409363,5,10487970.695992364,2297657.388064076,7936358.542473212,14679056.484933684,20.0,0.0,20,20,0.2190754965535946,1079.6978493570257,906.946316995478
vpr101_5_1_results.json,grasp,81994.03,68874.98,7.101403474807739,5,16398805.238402778,875360.8446137698,14866272.256722443,17493011.00853368,20.0,0.0,20,20,0.05337955002745241,11546.172568686485,9698.784225447025
vpr101_5_1_results.json,nearest_neighbor_algorithm,95875.62,80535.52,0.001998424530029297,5,19175124.97116638,864339.5647646877,17855129.547052573,20429461.535996206,20.0,0.0,20,20,0.04507608508754933,47975602.06018611,40299505.330240995
vpr151_7_1_results.json,clarke_wright_savings,134870.61,113291.31,0.01801896095275879,7,19267229.365459163,2364368.143577778,15974131.361859174,22659287.416836616,21.428571428571427,4.030495994190253,16,29,0.12271448575872766,7484927.1472199205,6287338.670471705
vpr151_7_1_results.json,genetic_algorithm,81122.32,68142.75,74.3272774219513,7,11588902.684922239,3797335.5682370286,6363426.196916742,19541921.510978274,21.428571428571427,0.4948716593053935,21,22,0.3276699849397785,1091.4205768559727,916.7933007038301
vpr151_7_1_results.json,grasp,114577.54,96245.13,12.617344379425049,7,16368219.763208268,1280910.0670259884,15149444.276804548,18407744.931970246,21.428571428571427,0.4948716593053935,21,22,0.0782559182095758,9080.95527509261,7628.002145756263
vpr151_7_1_results.json,nearest_neighbor_algorithm,136571.23,114719.83,0.001989126205444336,7,19510176.018978354,1466620.2527326823,17576344.70492916,22304555.578784473,21.428571428571427,0.4948716593053935,21,22,0.07517206668489511,68658906.42142156,57673479.78524751
vpr151_7_2_results.json,clarke_wright_savings,111245.17,93445.94,0.017003536224365234,7,15892166.447498623,8178431.38434248,8635408.699609187,33677168.84775334,21.428571428571427,8.381222939355787,14,38,0.5146202949334034,6542472.608761883,5495676.826688354
vpr151_7_2_results.json,genetic_algorithm,68501.48,57541.24,77.26529264450073,7,9785925.363469308,3022391.982871593,4807630.79335727,14949118.772737602,21.428571428571427,0.4948716593053935,21,22,0.3088509129810177,886.5750410753865,744.7229930875752
vpr151_7_2_results.json,grasp,116932.14,98223.0,11.816882610321045,7,16704592.06606382,783264.4328911288,15575161.297764558,17632254.140528463,21.428571428571427,0.4948716593053935,21,22,0.04688916854679547,9895.345824783746,8312.090695917597
vpr151_7_2_results.json,nearest_neighbor_algorithm,136751.12,114870.94,0.0019931793212890625,7,19535874.00238018,1475336.5199893806,17593369.464337707,21875166.251090616,21.428571428571427,0.4948716593053935,21,22,0.07551935069859843,68609541.82063158,57632014.72796173
vpr201_7_1_results.json,clarke_wright_savings,158027.79,132743.34,0.03199887275695801,7,22575398.454091515,8883113.806313626,10329849.262944922,39846933.823134325,28.571428571428573,10.097484026898453,18,43,0.3934864682179583,4938542.404298838,4148375.507107061
vpr201_7_1_results.json,genetic_algorithm,76772.79,64489.14,97.81545495986938,7,10967541.561695317,3855285.267400879,4728573.37532124,17833701.581892498,28.571428571428573,0.4948716593053935,28,29,0.35151772580152824,784.8738221531297,659.2939738046291
vpr201_7_1_results.json,grasp,130814.53,109884.21,43.033451795578,7,18687790.31690485,1342664.8309402384,17604431.94867323,21532852.437116932,28.571428571428573,0.4948716593053935,28,29,0.07184716909658778,3039.83353743987,2553.4602829906244
vpr201_7_1_results.json,nearest_neighbor_algorithm,164684.87,138335.29,0.0030002593994140625,7,23526410.663410384,2237285.424794812,19203490.62069686,27004788.238848038,28.571428571428573,0.4948716593053935,28,29,0.09509675984166875,54890210.50385251,46107776.5565925
vpr201_7_2_results.json,clarke_wright_savings,144464.65,121350.3,0.030011415481567383,7,20637806.65487769,9731335.927437663,9821018.23498494,32884011.90051436,28.571428571428573,12.373440944875703,13,45,0.4715295617491255,4813656.659704315,4043471.3942276984
vpr201_7_2_results.json,genetic_algorithm,73946.29,62114.88,97.18212914466858,7,10563755.138463018,3467353.50640833,5943537.8568664035,15648816.577123178,28.571428571428573,0.4948716593053935,28,29,0.3282311508512318,760.9041976217774,639.1594889584453
